source_id,source_short_title,source_title,p_issn,e_issn,status,coverage,lang,2015cs,2015sjr,2015snip,2016cs,2016sjr,2016snip,2017cs,2017sjr,2017snip,medline_source,oa_status,inpress_art,add_april2018,source_type,title_hist,rel_title_hist,other1,other2,other3,pub_name,pub_group_short,pub_group,pub_country,class_code,top_class_life,top_class_social,topclassif_physics,top_classif_physics,top_classif_general,agri_bio,arts_human,biochem_gen_mol,business_man_acc,chem_eng,chem,comp,decision,earth_planet,econ_fin,energy,eng,enviro,immun_micro,material,math,med,neuro,nursing,pharmaco_toxic,astro_physics,psych,social,vet,dentistry,health
21100199733,ITB_JICT,ITB Journal of Information and Communication Technology,19783086,,Inactive,2011-2012,,0.00,0,0,0,0,0,0,0,0,,,,,Journal,Continued as,Journal of ICT Research and Applications,,,,Institut Teknologi Bandung (ITB),ITB,Institut Teknologi Bandung (ITB),Indonesia,2208; 1700;,,,Physical Sciences,,,,,,,,,Computer Science,,,,,Engineering,,,,,,,,,,,,,,
17700156311,ITB_JS,ITB Journal of Science,19783043,,Inactive,2009-2012,,0.00,0,0,0,0,0,0,0,0,,,,,Journal,Continued as,Journal of Mathematical and Fundamental Sciences,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",ITB,"Institute for Research and Community Services, Institut Teknologi Bandung",Indonesia,1000;,,,,,General,,,,,,,,,,,,,,,,,,,,,,,,,,
21100265049,ITB_JETS,Journal of Engineering and Technological Sciences,23375779,,Active,2013-ongoing,ENG,0.08,0.12,0.177,0.31,0.144,0.459,0.71,0.194,0.483,,DOAJ/ROAD Open Access,,,Journal,Formerly known as,ITB Journal of Information and Communication Technology,,,,Institut Teknologi Bandung (ITB),ITB,Institut Teknologi Bandung (ITB),Indonesia,2200;,,,Physical Sciences,,,,,,,,,,,,,,Engineering,,,,,,,,,,,,,,
21100268428,ITB_ICT,Journal of ICT Research and Applications,23375787,,Active,2013-ongoing,ENG,0.38,0.169,0.296,0.62,0.123,0.656,0.7,0.157,0.459,,DOAJ/ROAD Open Access,,,Journal,Formerly known as,,ITB Journal of Information and Communication Technology,,,Institut Teknologi Bandung (ITB),ITB,Institut Teknologi Bandung (ITB),Indonesia,2208; 1802; 1700;,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science,Decision Sciences,,,,Engineering,,,,,,,,,,,,,,
21100780796,JII,Journal of Indonesian Islam,19786301,23556994,Active,2016-ongoing,ENG,0.00,0.1,0.033,0,0.101,0,0.11,0.142,0.59,,DOAJ/ROAD Open Access,,,Journal,,,,,,State Islamic University of Sunan Ampel Surabaya,,State Islamic University of Sunan Ampel Surabaya,Indonesia,1212; 1202; 3316;,,Social Sciences,,,,,Arts and Humanities,,,,,,,,,,,,,,,,,,,,,Social Sciences,,,
21100268424,ITB_JMFS,Journal of Mathematical and Fundamental Sciences,23375760,,Active,2013-ongoing,ENG,0.19,0.118,0.474,0.4,0.127,0.674,0.52,0.173,0.657,,DOAJ/ROAD Open Access,,,Journal,Formerly known as,,ITB Journal of Science,,,"Institute for Research and Community Services, Institut Teknologi Bandung",ITB,"Institute for Research and Community Services, Institut Teknologi Bandung",Indonesia,1000; 3100; 1600 1300 1900; 1100; 2600; 2700;,Life Sciences,,Physical Sciences,Health Sciences,General,Agricultural and Biological Sciences,,,,,,,,Earth and Planetary Sciences,,,,,,,Mathematics,Medicine,,,,Physics and Astronomy,,,,,
21100823452,JITAA,Journal of the Indonesian Tropical Animal Agriculture,20878273,24606278,Active,2016-ongoing,ENG,0.00,0,0,0,0,0,0.29,0.126,0.347,,DOAJ/ROAD Open Access,,,Journal,,,,,,Diponegoro University,UNDIP,Diponegoro University,Indonesia,3400; 1103;,Life Sciences,,,Health Sciences,,Agricultural and Biological Sciences,,,,,,,,,,,,,,,,,,,,,,,Veterinary,,
21100823999,JPIPA,Jurnal Pendidikan IPA Indonesia,23391286,20894392,Active,2017-ongoing,ENG,0.00,0.223,0.351,0,0.187,0.164,1.41,0.206,1.554,,DOAJ/ROAD Open Access,,,Journal,,,,,,Universitas Negeri Semarang (UNNES),UNNES,Universitas Negeri Semarang (UNNES),Indonesia,3304;,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences,,,
21100229838,KUKILA,Kukila,02169223,,Active,2012-ongoing,ENG,0.18,0.151,0.395,0.2,0.167,0.489,0.14,0.116,0.344,,,,,Journal,,,,,,WCS - Indonesia,WCS,WCS - Indonesia,Indonesia,1103;,Life Sciences,,,,,Agricultural and Biological Sciences,,,,,,,,,,,,,,,,,,,,,,,,,
21100456790,MP,Media Peternakan,01260472,20874634,Active,2010-ongoing,ENG,0.00,0.169,0.327,0.21,0.159,0.287,0.57,0.216,0.389,,DOAJ/ROAD Open Access,,,Journal,,,,,,Bogor Agricultural University,IPB,Bogor Agricultural University,Indonesia,1103;,Life Sciences,,,,,Agricultural and Biological Sciences,,,,,,,,,,,,,,,,,,,,,,,,,
21100465408,MJI,Medical Journal of Indonesia,08531773,22528083,Active,2015-ongoing,ENG,0.00,0.126,0.154,0.07,0.112,0.059,0.2,0.122,0.336,,DOAJ/ROAD Open Access,,,Journal,,,,,,Faculty of Medicine Universitas Indonesia,UI,Faculty of Medicine Universitas Indonesia,Indonesia,2700;,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine,,,,,,,,,
21100407605,SI,Studia Islamika,02150492,23556145,Active,2014-ongoing,"ENG, ARA",0,0.111,0,0.06,0.135,0.034,0.14,0.135,0.53,,DOAJ/ROAD Open Access,,,Journal,,,,,,Gedung Pusat Pengkajian Islam dan Masyarakat (PPIM) UIN Jakarta,UIN_SH,Gedung Pusat Pengkajian Islam dan Masyarakat (PPIM) UIN Jakarta,Indonesia,1212;,,Social Sciences,,,,,Arts and Humanities,,,,,,,,,,,,,,,,,,,,,,,,
21100256101,TELKOMNIKA,Telkomnika,16936930,23029293,Active,2011-ongoing,ENG,0.36,0.191,0.713,0.75,0.236,0.803,0.63,0.265,0.58,,DOAJ/ROAD Open Access,,,Journal,,,,,,Institute of Advanced Engineering and Science (IAES),IAES,Institute of Advanced Engineering and Science (IAES),Indonesia,2208;,,,Physical Sciences,,,,,,,,,,,,,,Engineering,,,,,,,,,,,,,,
