Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Martin, E.L.O., Pittet, B., Gutiérrez-Marco, J.-C., Vannier, J., El Hariri, K., Lerosey-Aubril, R., Masrour, M., Nowak, H., Servais, T., Vandenbroucke, T.R.A., Van Roy, P., Vaucher, R., Lefebvre, B.","56637523400;7004244517;6701780902;7005953797;6603215721;8608636200;24076759400;56545224400;7003372013;12143575400;36054070600;56638333700;56277765900;","The Lower Ordovician Fezouata Konservat-Lagerstätte from Morocco: Age, environment and evolutionary perspectives",2016,"Gondwana Research","34",,,"274","283",,32,"10.1016/j.gr.2015.03.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929119063&doi=10.1016%2fj.gr.2015.03.009&partnerID=40&md5=9ef2ff3821072228349ccfe119f91124",Article,Open Access,Scopus,2-s2.0-84929119063
"ZOU, C., ZHANG, G., YANG, Z., TAO, S., HOU, L., ZHU, R., YUAN, X., RAN, Q., LI, D., WANG, Z.","7102543741;55825718900;55716598300;16069419800;7202492164;12041235100;16508416300;8650734600;36731369700;55826063400;","Concepts, characteristics, potential and technology of unconventional hydrocarbons: On unconventional petroleum geology",2013,"Petroleum Exploration and Development","40","4",,"413","428",,32,"10.1016/S1876-3804(13)60053-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882236375&doi=10.1016%2fS1876-3804%2813%2960053-1&partnerID=40&md5=9e0fe9a8ccfb6f47eefe7a105eca9013",Article,Open Access,Scopus,2-s2.0-84882236375
"Hatté, C., Gauthier, C., Rousseau, D-D., Antoine, P., Fuchs, M., Lagroix, F., Marković, S.B., Moine, O., Sima, A.","6701561416;55066160000;7201862430;55658056207;9044209800;6602246761;12241043000;6602631117;15726663700;","Excursions to C<inf>4</inf> vegetation recorded in the upper pleistocene loess of surduk (Northern Serbia): An organic isotope geochemistry study",2013,"Climate of the Past","9","3",,"1001","1014",,32,"10.5194/cp-9-1001-2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877984104&doi=10.5194%2fcp-9-1001-2013&partnerID=40&md5=d4eaf839b23fad2c49354dd336c116be",Article,Open Access,Scopus,2-s2.0-84877984104
"Best, A.I., Priest, J.A., Clayton, C.R.I., Rees, E.V.L.","23099181200;8568990500;55640379100;35275634000;","The effect of methane hydrate morphology and water saturation on seismic wave attenuation in sand under shallow sub-seafloor conditions",2013,"Earth and Planetary Science Letters","368",,,"78","87",,32,"10.1016/j.epsl.2013.02.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875777814&doi=10.1016%2fj.epsl.2013.02.033&partnerID=40&md5=fe44ef2b11d4126be6a32f13bf714681",Article,Open Access,Scopus,2-s2.0-84875777814
"Dang, H., Zhou, H., Yang, J., Ge, H., Jiao, N., Luan, X., Zhang, C., Klotz, M.G.","23134477000;55505867900;53265356500;24491778900;6701329775;23969416500;7405489900;7005769022;","Thaumarchaeotal signature gene distribution in sediments of the northern South China sea: An indicator of the metabolic intersection of the marine carbon, nitrogen, and phosphorus cycles?",2013,"Applied and Environmental Microbiology","79","7",,"2137","2147",,32,"10.1128/AEM.03204-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875549275&doi=10.1128%2fAEM.03204-12&partnerID=40&md5=18ed1464290e4f96cecd9f7c8644af86",Article,Open Access,Scopus,2-s2.0-84875549275
"Reinholdsson, M., Snowball, I., Zillén, L., Lenz, C., Conley, D.J.","49861923300;7004579563;6505786314;51665418200;7006462364;","Magnetic enhancement of Baltic Sea sapropels by greigite magnetofossils",2013,"Earth and Planetary Science Letters","366",,,"137","150",,32,"10.1016/j.epsl.2013.01.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875656996&doi=10.1016%2fj.epsl.2013.01.029&partnerID=40&md5=a017afc38c11f6681ac05800759d3200",Article,Open Access,Scopus,2-s2.0-84875656996
"Garzanti, E., Padoan, M., Setti, M., Najman, Y., Peruta, L., Villa, I.M.","7003625845;36458924500;7005309250;56505269300;55661698100;35498958700;","Weathering geochemistry and Sr-Nd fingerprints of equatorial upper Nile and Congo muds",2013,"Geochemistry, Geophysics, Geosystems","14","2",,"292","316",,32,"10.1002/ggge.20060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876702321&doi=10.1002%2fggge.20060&partnerID=40&md5=752a98b4975d7ebd21839badd05a5026",Article,Open Access,Scopus,2-s2.0-84876702321
"Wulf, H., Bookhagen, B., Scherler, D.","35270687000;6603446872;14052807300;","Climatic and geologic controls on suspended sediment flux in the Sutlej River Valley, western Himalaya",2012,"Hydrology and Earth System Sciences","16","7",,"2193","2217",,32,"10.5194/hess-16-2193-2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864234425&doi=10.5194%2fhess-16-2193-2012&partnerID=40&md5=29087f54bb97389830d83c85f1fd3b2b",Article,Open Access,Scopus,2-s2.0-84864234425
"He, R., Wooller, M.J., Pohlman, J.W., Quensen, J., Tiedje, J.M., Leigh, M.B.","7202418331;6602526865;7004562019;7004573499;7102334551;7007077707;","Shifts in identity and activity of methanotrophs in Arctic Lake sediments in response to temperature changes",2012,"Applied and Environmental Microbiology","78","13",,"4715","4723",,32,"10.1128/AEM.00853-12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864110937&doi=10.1128%2fAEM.00853-12&partnerID=40&md5=40fa1a5f42364476bd2fc360951fda69",Article,Open Access,Scopus,2-s2.0-84864110937
"Thorpe, C.L., Lloyd, J.R., Law, G.T.W., Burke, I.T., Shaw, S., Bryan, N.D., Morris, K.","54685444300;7402365434;35315679000;8600041800;7402759136;25941604600;7202939108;","Strontium sorption and precipitation behaviour during bioreduction in nitrate impacted sediments",2012,"Chemical Geology","306-307",,,"114","122",,32,"10.1016/j.chemgeo.2012.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859836265&doi=10.1016%2fj.chemgeo.2012.03.001&partnerID=40&md5=ca42bf0db0165b9eb90eec90b56a0d20",Article,Open Access,Scopus,2-s2.0-84859836265
