Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Klokov, A., Hardage, B.","36494914500;7004735896;","SV-P and S-S imaging at a CO<inf>2</inf>storage site using vertical seismic profiling data",2016,"International Journal of Greenhouse Gas Control","46",,,"259","270",,1,"10.1016/j.ijggc.2016.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957574847&doi=10.1016%2fj.ijggc.2016.01.014&partnerID=40&md5=f20fb024db72750ceb11209f5ad80ccb",Article,Open Access,Scopus,2-s2.0-84957574847
"Simyrdanis, K., Papadopoulos, N., Cantoro, G.","56111703900;55327516400;57090705900;","Shallow off-shore archaeological prospection with 3-D electrical resistivity tomography: The case of Olous (Modern Elounda), Greece",2016,"Remote Sensing","8","11", 897,"","",,1,"10.3390/rs8110897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995475535&doi=10.3390%2frs8110897&partnerID=40&md5=69a4f68349b3d0d37451a655a7f8e2b0",Article,Open Access,Scopus,2-s2.0-84995475535
"Moore, D.H., Betts, P.G.","8512195500;7005401491;","Mesoproterozoic Tasmania: Witness to the east Antarctica-Laurentia connection within Nuna",2016,"Geology","44","2",,"e380","",,1,"10.1130/G37511C.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977137703&doi=10.1130%2fG37511C.1&partnerID=40&md5=68adb1f1f6711214ae7cf5cafd3ca280",Article,Open Access,Scopus,2-s2.0-84977137703
"Salmanov, A.M., Maharramov, B.I., Huseynov, R.M., Xalilov, E.F.","37054631800;56964502900;57200414568;57189615940;","Tectonic features of miocene sediments of south-west apsheron in accordance with the new data",2016,"SOCAR Proceedings",,"1",,"4","12",,1,"10.5510/OGP20160100265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973487026&doi=10.5510%2fOGP20160100265&partnerID=40&md5=58d52b66b296b3cb18476891329a86e5",Article,Open Access,Scopus,2-s2.0-84973487026
"Lissenberg, C.J., Rioux, M., MacLeod, C.J., Bowring, S.A., Shimizu, N.","9271690300;21934874400;7102386355;7006950720;35615080900;","Crystallization depth beneath an oceanic detachment fault (ODP Hole 923A, Mid-Atlantic Ridge)",2016,"Geochemistry, Geophysics, Geosystems","17","1",,"162","180",,1,"10.1002/2015GC006027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955505483&doi=10.1002%2f2015GC006027&partnerID=40&md5=5af8094ed068a1158e4b8dff932594ec",Article,Open Access,Scopus,2-s2.0-84955505483
"Langenheim, V.E., Jachens, R.C., Muffler, L.J.P., Clynne, M.A.","6603974198;7004001270;6603506972;6603909509;","Implications for the structure of the Hat Creek fault and transfer of right-lateral shear from the Walker Lane north of Lassen Peak, northern California, from gravity and magnetic data",2016,"Geosphere","12","3",,"790","808",,1,"10.1130/GES01253.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980329099&doi=10.1130%2fGES01253.1&partnerID=40&md5=080dfb87e5cb1c4d91b5438fd56554b7",Article,Open Access,Scopus,2-s2.0-84980329099
"Newell, D.L., Jessup, M.J., Hilton, D.R., Shaw, C.A., Hughes, C.A.","22953940500;16024303900;7102093325;7402630133;56900466700;","Mantle-derived helium in hot springs of the Cordillera Blanca, Peru: Implications for mantle-to-crust fluid transfer in a flat-slab subduction setting",2015,"Chemical Geology","417",,,"200","209",,1,"10.1016/j.chemgeo.2015.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944071479&doi=10.1016%2fj.chemgeo.2015.10.003&partnerID=40&md5=09b91b2a7525940e2eb57a82a6b47b1d",Article,Open Access,Scopus,2-s2.0-84944071479
"Christeson, G.L., Barth, G.A.","6701635850;56375709900;","Aleutian basin oceanic crust",2015,"Earth and Planetary Science Letters","426",,,"167","175",,1,"10.1016/j.epsl.2015.06.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936743677&doi=10.1016%2fj.epsl.2015.06.040&partnerID=40&md5=98d614a8d91a8ca8c7bdcd29a2bae932",Article,Open Access,Scopus,2-s2.0-84936743677
"Enkelmann, E., Ehlers, T.A., Merli, G., Methner, K.","57204380611;7004047521;57195451698;56520282300;","Thermal and exhumation history of the Eocene Chumstick Basin, Washington State, USA",2015,"Tectonics","34","5",,"951","969",,1,"10.1002/2014TC003767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027925219&doi=10.1002%2f2014TC003767&partnerID=40&md5=2378a8bbce5f0b35313caeb19a161d84",Article,Open Access,Scopus,2-s2.0-85027925219
"Balasco, M., Giocoli, A., Piscitelli, S., Romano, G., Siniscalchi, A., Stabile, T.A., Tripaldi, S.","6603007852;24463524700;56262686300;15069932000;7006364209;23668846600;35800162900;","Magnetotelluric investigation in the High Agri Valley (southern Apennine, Italy)",2015,"Natural Hazards and Earth System Sciences","15","4",,"843","852",,1,"10.5194/nhess-15-843-2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927730991&doi=10.5194%2fnhess-15-843-2015&partnerID=40&md5=4442391043f0d2901eb66cc7fb9d0d41",Article,Open Access,Scopus,2-s2.0-84927730991
