Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Turnbull, J.M., Davies, T.R.H.","7201518463;7401742768;","A mass movement origin for cirques",2006,"Earth Surface Processes and Landforms","31","9",,"1129","1148",,39,"10.1002/esp.1324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747390149&doi=10.1002%2fesp.1324&partnerID=40&md5=88c28ecfc7113f38d4e9ec3db4decf0e",Article,Open Access,Scopus,2-s2.0-33747390149
"Bellahsen, N., Fiore, P.E., Pollard, D.D.","6508329587;13805980000;55624850800;","From spatial variation of fracture patterns to fold kinematics: A geomechanical approach",2006,"Geophysical Research Letters","33","2", L02301,"","",,36,"10.1029/2005GL024189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644757007&doi=10.1029%2f2005GL024189&partnerID=40&md5=bfebab3a11ca52e8d4dffbdb554de438",Article,Open Access,Scopus,2-s2.0-33644757007
"Houlié, N., Briole, P., Bonforte, A., Puglisi, G.","14043771500;7003372226;6507352741;7005051253;","Large scale ground deformation of Etna observed by GPS between 1994 and 2001",2006,"Geophysical Research Letters","33","2", L02309,"","",,34,"10.1029/2005GL024414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644794711&doi=10.1029%2f2005GL024414&partnerID=40&md5=c281beb24d9c7436d451f7865339fc9f",Article,Open Access,Scopus,2-s2.0-33644794711
"Vosper, S.B., Sheridan, P.F., Brown, A.R.","6603871013;8533912900;56213029000;","Flow separation and rotor formation beneath two-dimensional trapped lee waves",2006,"Quarterly Journal of the Royal Meteorological Society","132","620",,"2415","2438",,29,"10.1256/qj.05.174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751543066&doi=10.1256%2fqj.05.174&partnerID=40&md5=cd0f764d437fd40d1d9646086151af0a",Article,Open Access,Scopus,2-s2.0-33751543066
"Satyabala, S.P., Bilham, R.","6507804949;7006622782;","Surface deformation and subsurface slip of the 28 March 1999 Mw = 6.4 west Himalayan Chamoli earthquake from InSAR analysis",2006,"Geophysical Research Letters","33","23", L23305,"","",,25,"10.1029/2006GL027422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548662897&doi=10.1029%2f2006GL027422&partnerID=40&md5=708c66873f3297fbca3e2d8e1fa3855a",Article,Open Access,Scopus,2-s2.0-34548662897
"Huang, B.-S., Huang, W.-G., Liang, W.-T., Rau, R.-J., Hirata, N.","7403681659;7407905350;7402026641;7101921268;7101707890;","Anisotropy beneath an active collision orogen of Taiwan: Results from across islands array observations",2006,"Geophysical Research Letters","33","24", L24302,"","",,24,"10.1029/2006GL027844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548016290&doi=10.1029%2f2006GL027844&partnerID=40&md5=7d6dbf60033093cc7a7cb35e30806e71",Article,Open Access,Scopus,2-s2.0-34548016290
"Środa, P.","6603585057;","Seismic anisotropy of the upper crust in southeastern Poland - Effect of the compressional deformation at the EEC margin: Results of CELEBRATION 2000 seismic data inversion",2006,"Geophysical Research Letters","33","22", L22302,"","",,24,"10.1029/2006GL027701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548571986&doi=10.1029%2f2006GL027701&partnerID=40&md5=fa5bf25df34908fd2657ee325d054383",Article,Open Access,Scopus,2-s2.0-34548571986
"Masotti, M., Falsaperla, S., Langer, H., Spampinato, S., Campanini, R.","7003706190;6603526923;7103322865;7006291039;57204346310;","Application of Support Vector Machine to the classification of volcanic tremor at Etna, Italy",2006,"Geophysical Research Letters","33","20", L20304,"","",,24,"10.1029/2006GL027441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845618579&doi=10.1029%2f2006GL027441&partnerID=40&md5=b16eaa7a4f8deb64e62e133bf7f8552c",Article,Open Access,Scopus,2-s2.0-33845618579
"Tsuji, T., Kimura, G., Okamoto, S., Kono, F., Mochinaga, H., Saeki, T., Tokuyama, H.","56430371700;7101752104;36806497400;23477598600;23478076500;22036413400;7006042986;","Modern and ancient seismogenic out-of-sequence thrusts in the Nankai accretionary prism: Comparison of laboratory-derived physical properties and seismic reflection data",2006,"Geophysical Research Letters","33","18", L18309,"","",,23,"10.1029/2006GL027025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549148708&doi=10.1029%2f2006GL027025&partnerID=40&md5=a91ef05e359db621c0976c7e6f6557d5",Article,Open Access,Scopus,2-s2.0-38549148708
"Kendall, R.A., Latychev, K., Mitrovica, J.X., Davis, J.E., Tamisiea, M.E.","8607674800;56422360000;7006617790;57199369944;6603503726;","Decontaminating tide gauge records for the influence of glacial isostatic adjustment: The potential impact of 3-D Earth structure",2006,"Geophysical Research Letters","33","24", L24318,"","",,22,"10.1029/2006GL028448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247565786&doi=10.1029%2f2006GL028448&partnerID=40&md5=82a4faa8458bda1c37661adb45d6a13d",Article,Open Access,Scopus,2-s2.0-34247565786
"Huang, M.-H., Hu, J.-C., Hsieh, C.-S., Ching, K.-E., Rau, R.-J., Pathier, E., Fruneau, B., Deffontaines, B.","15053383700;7406417594;14041609100;15053070500;7101921268;6507002799;35579260900;7004102054;","A growing structure near the deformation front in SW Taiwan as deduced from SAR interferometry and geodetic observation",2006,"Geophysical Research Letters","33","12", L12305,"","",,20,"10.1029/2005GL025613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750614945&doi=10.1029%2f2005GL025613&partnerID=40&md5=2e9122db93db289e8c2724df755fab13",Article,Open Access,Scopus,2-s2.0-33750614945
"Diaferia, I., Barchi, M., Loddo, M., Schiavone, D., Siniscalchi, A.","22937138600;35607053900;7003460818;55776050400;7006364209;","Detailed imaging of tectonic structures by multiscale Earth resistivity tomographies: The Colfiorito normal faults (central Italy)",2006,"Geophysical Research Letters","33","9", L09305,"","",,20,"10.1029/2006GL025828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745685126&doi=10.1029%2f2006GL025828&partnerID=40&md5=48855c6454b7d28ab642562c2fc4db9b",Article,Open Access,Scopus,2-s2.0-33745685126
"Toh, H., Baba, K., Ichiki, M., Motobayashi, T., Ogawa, Y., Mishina, M., Takahashi, I.","7006272183;35589362200;7005983299;21734963700;35452112400;7102613338;57194530446;","Two-dimensional electrical section beneath the eastern margin of Japan Sea",2006,"Geophysical Research Letters","33","22", L22309,"","",,19,"10.1029/2006GL027435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548555708&doi=10.1029%2f2006GL027435&partnerID=40&md5=24463bc6362b93fd5bf5bcf81b0c2590",Article,Open Access,Scopus,2-s2.0-34548555708
