Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Braun, D.R., Harris, J.W.K., Levin, N.E., McCoy, J.T., Herries, A.I.R., Bamford, M.K., Bishop, L.C., Richmond, B.G., Kibunjia, M.","23972180300;55740177800;7103118120;36337221800;6507251186;7005097649;7007061548;7006651844;6506717232;","Early hominin diet included diverse terrestrial and aquatic animals 1.95 Ma in East Turkana, Kenya",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","22",,"10002","10007",,138,"10.1073/pnas.1002181107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953395477&doi=10.1073%2fpnas.1002181107&partnerID=40&md5=a594f9fd546b92d710c40cb7d60627ff",Article,Open Access,Scopus,2-s2.0-77953395477
"Brennecka, G.A., Herrmann, A.D., Algeo, T.J., Anbar, A.D.","26639139700;7202170958;6602292657;7004627369;","Rapid expansion of oceanic anoxia immediately before the end-Permian mass extinction",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","43",,"17631","17634",,133,"10.1073/pnas.1106039108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055078582&doi=10.1073%2fpnas.1106039108&partnerID=40&md5=2c45b2f2cd32188ed9d3a5770a8f1a44",Article,Open Access,Scopus,2-s2.0-80055078582
"Haile-Selassie, Y., Latimer, B.M., Alene, M., Deino, A.L., Gibert, L., Melillo, S.M., Saylor, B.Z., Scott, G.R., Lovejoy, C.O.","6508101067;7003514125;6506454844;35571657200;12781684300;55389164300;6603580511;8536443800;7006644104;","An early Australopithecus afarensis postcranium from Woranso-Mille, Ethiopia",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","27",,"12121","12126",,133,"10.1073/pnas.1004527107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955433245&doi=10.1073%2fpnas.1004527107&partnerID=40&md5=3c90e7f0462fe16d2ca068b8375e749f",Article,Open Access,Scopus,2-s2.0-77955433245
"Payne, J.L., Finnegan, S.","7403333496;8727837900;","The effect of geographic range on extinction risk during background and mass extinction",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","25",,"10506","10511",,126,"10.1073/pnas.0701257104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547547375&doi=10.1073%2fpnas.0701257104&partnerID=40&md5=5874bf25b755ef11333a4152755f0ea6",Article,Open Access,Scopus,2-s2.0-34547547375
"Lebatard, A.-E., Bourlès, D.L., Duringer, P., Jolivet, M., Braucher, R., Carcaillet, J., Schuster, M., Arnaud, N., Monié, P., Lihoreau, F., Likius, A., Mackaye, H.T., Vignaud, P., Brunet, M.","23094650600;7004693622;6602856004;56201811400;6602165786;35274331000;7202798745;25226817900;7004163812;6506495074;8505435200;6602635383;6701741942;34567584000;","Cosmogenic nuclide dating of Sahelanthropus tchadensis and Australopithecus bahrelghazali: Mio-Pliocene hominids from Chad",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","9",,"3226","3231",,124,"10.1073/pnas.0708015105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42149186984&doi=10.1073%2fpnas.0708015105&partnerID=40&md5=e392657a03dbcd9c3509b7b76cbb419f",Article,Open Access,Scopus,2-s2.0-42149186984
"Wilkinson, R.D., Steiper, M.E., Soligo, C., Martin, R.D., Yang, Z., Tavaré, S.","26424843400;6506357540;55853593700;7501383360;8148132700;7003693973;","Dating primate divergences through an integrated analysis of palaeontological and molecular data",2011,"Systematic Biology","60","1",,"16","31",,122,"10.1093/sysbio/syq054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952158855&doi=10.1093%2fsysbio%2fsyq054&partnerID=40&md5=1a60eeae317f802447378f06aea14b29",Article,Open Access,Scopus,2-s2.0-79952158855
"Breecker, D.O., Sharp, Z.D., McFadden, L.D.","22936682300;7006696154;7005647953;","Atmospheric CO<inf>2</inf>concentrations during ancient greenhouse climates were similar to those predicted for A.D. 2100",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","2",,"576","580",,122,"10.1073/pnas.0902323106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76249115584&doi=10.1073%2fpnas.0902323106&partnerID=40&md5=6a752c92835402799b561b0a12b07066",Article,Open Access,Scopus,2-s2.0-76249115584
"Knoll, A.H.","7102250655;","Paleobiological perspectives on early eukaryotic evolution",2014,"Cold Spring Harbor Perspectives in Biology","6","1", a016121,"","",,121,"10.1101/cshperspect.a016121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891643388&doi=10.1101%2fcshperspect.a016121&partnerID=40&md5=e1a6d8969b42c35f8cfd7e953f64492b",Article,Open Access,Scopus,2-s2.0-84891643388
"Sperling, E.A., Frieder, C.A., Raman, A.V., Girguis, P.R., Levin, L.A., Knoll, A.H.","13608484300;54782548300;7101799188;7801588496;7202247083;7102250655;","Oxygen, ecology, and the Cambrian radiation of animals",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","33",,"13446","13451",,121,"10.1073/pnas.1312778110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882350045&doi=10.1073%2fpnas.1312778110&partnerID=40&md5=c1ba0df24f6eed8866e2a11de3287176",Article,Open Access,Scopus,2-s2.0-84882350045
"Zhao, M., Kong, Q.-P., Wang, H.-W., Peng, M.-S., Xie, X.-D., Wang, W.-Z., Jiayang, Duan, J.-G., Cai, M.-C., Zhao, S.-N., Cidanpingcuo, Tu, Y.-Q., Wu, S.-F., Yao, Y.-G., Bandelt, H.-J., Zhang, Y.-P.","35768747100;7102722736;19639444900;36167089800;57194269136;46761494200;36097947700;36097973100;36097654100;36098482000;36097708500;56283925800;7407184491;36062099400;7003956536;55881841300;","Mitochondrial genome evidence reveals successful Late Paleolithic settlement on the Tibetan Plateau",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","50",,"21230","21235",,120,"10.1073/pnas.0907844106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75849116319&doi=10.1073%2fpnas.0907844106&partnerID=40&md5=168ec66b9731cf07f5e9ba88d7f914ac",Article,Open Access,Scopus,2-s2.0-75849116319
